Codigo;Apelido;Nome;Sobrenome;NomeCompleto;Telefone;TipoContato
1;ALEXIE;Alexie;Ferry;Alexie Ferry;91111-0001;W
2;CONNIE;Connie;Robel;Connie Robel;91111-0002;F
3;CHESTER;Chester;Williamson;Chester Williamson;91111-0003;C
4;VIDAL;Vidal;Ullrich;Vidal Ullrich;91111-0004;T
5;ANA;Ana;Klein;Ana Klein;91111-0005;W
6;GILES;Giles;Marks;Giles Marks;91111-0006;C
7;MACKENZIE;Mackenzie;Kuphal;Mackenzie Kuphal;91111-0007;T
8;JODIE;Jodie;Halvorson;Jodie Halvorson;91111-0008;F
9;JEFF;Jeff;Reinger;Jeff Reinger;91111-0009;T
10;ASA;Asa;Kuhic;Asa Kuhic;91111-0010;C
11;NAYELI;Nayeli;Monahan;Nayeli Monahan;91111-0011;C
12;REVA;Reva;Beatty;Reva Beatty;91111-0012;F
13;TIMMOTHY;Timmothy;Ebert;Timmothy Ebert;91111-0013;F
14;KAMRYN;Kamryn;Williamson;Kamryn Williamson;91111-0014;W
15;DANA;Dana;Little;Dana Little;91111-0015;W
16;VERGIE;Vergie;Nikolaus;Vergie Nikolaus;91111-0016;W
17;IMELDA;Imelda;Volkman;Imelda Volkman;91111-0017;W
18;EUGENE;Eugene;Hettinger;Eugene Hettinger;91111-0018;F
19;REBECCA;Rebecca;Jacobson;Rebecca Jacobson;91111-0019;C
20;MORTON;Morton;Howe;Morton Howe;91111-0020;C
21;VICKY;Vicky;Stehr;Vicky Stehr;91111-0021;C
22;MEAGHAN;Meaghan;Klocko;Meaghan Klocko;91111-0022;C
23;MINA;Mina;Keebler;Mina Keebler;91111-0023;C
24;BERTHA;Bertha;Stanton;Bertha Stanton;91111-0024;C
25;EVIE;Evie;Schoen;Evie Schoen;91111-0025;T
26;ELDRED;Eldred;Zulauf;Eldred Zulauf;91111-0026;C
27;CLEMENS;Clemens;Sawayn;Clemens Sawayn;91111-0027;W
28;BERNEICE;Berneice;Cole;Berneice Cole;91111-0028;W
29;CALISTA;Calista;Kris;Calista Kris;91111-0029;W
30;KARA;Kara;Jacobi;Kara Jacobi;91111-0030;C
31;HOLDEN;Holden;Torphy;Holden Torphy;91111-0031;W
32;CHET;Chet;Bosco;Chet Bosco;91111-0032;W
33;LUCAS;Lucas;Flatley;Lucas Flatley;91111-0033;T
34;MAUDIE;Maudie;Roberts;Maudie Roberts;91111-0034;T
35;FREDA;Freda;Treutel;Freda Treutel;91111-0035;W
36;LEANNE;Leanne;Boehm;Leanne Boehm;91111-0036;W
37;KITTY;Kitty;Stokes;Kitty Stokes;91111-0037;C
38;JEFFEREY;Jefferey;Graham;Jefferey Graham;91111-0038;C
39;JULIE;Julie;Price;Julie Price;91111-0039;C
40;JACE;Jace;Maggio;Jace Maggio;91111-0040;W
41;ASA;Asa;Cummings;Asa Cummings;91111-0041;W
42;HENRI;Henri;Gibson;Henri Gibson;91111-0042;W
43;GRAHAM;Graham;Sipes;Graham Sipes;91111-0043;W
44;MARCELINA;Marcelina;Towne;Marcelina Towne;91111-0044;W
45;JASMIN;Jasmin;Emmerich;Jasmin Emmerich;91111-0045;W
46;BURLEY;Burley;Monahan;Burley Monahan;91111-0046;C
47;RUBYE;Rubye;Grimes;Rubye Grimes;91111-0047;C
48;JAQUELIN;Jaquelin;Nikolaus;Jaquelin Nikolaus;91111-0048;C
49;BRETT;Brett;Bergnaum;Brett Bergnaum;91111-0049;C
50;MARIAH;Mariah;Hyatt;Mariah Hyatt;91111-0050;T
51;JAEDEN;Jaeden;Watsica;Jaeden Watsica;91111-0051;T
52;CAITLYN;Caitlyn;Cassin;Caitlyn Cassin;91111-0052;T
53;DURWARD;Durward;Baumbach;Durward Baumbach;91111-0053;T
54;DEMOND;Demond;Yost;Demond Yost;91111-0054;T
55;NASIR;Nasir;Daniel;Nasir Daniel;91111-0055;T
56;SHAUN;Shaun;Stehr;Shaun Stehr;91111-0056;T
57;LIZZIE;Lizzie;Nicolas;Lizzie Nicolas;91111-0057;T
58;ARCHIBALD;Archibald;Hodkiewicz;Archibald Hodkiewicz;91111-0058;T
59;NELLA;Nella;Dicki;Nella Dicki;91111-0059;T
60;TANIA;Tania;Goyette;Tania Goyette;91111-0060;C
61;AMPARO;Amparo;Jacobson;Amparo Jacobson;91111-0061;W
62;TREVA;Treva;Heidenreich;Treva Heidenreich;91111-0062;W
63;PETRA;Petra;Mosciski;Petra Mosciski;91111-0063;C
64;ELOUISE;Elouise;Gorczany;Elouise Gorczany;91111-0064;C
65;DEONDRE;Deondre;Kautzer;Deondre Kautzer;91111-0065;C
66;CORDELIA;Cordelia;Mraz;Cordelia Mraz;91111-0066;C
67;ARMANDO;Armando;Beahan;Armando Beahan;91111-0067;C
68;SHANIE;Shanie;Bradtke;Shanie Bradtke;91111-0068;C
69;SANFORD;Sanford;Hirthe;Sanford Hirthe;91111-0069;W
70;MANUEL;Manuel;Cassin;Manuel Cassin;91111-0070;W
71;JOYCE;Joyce;Corwin;Joyce Corwin;91111-0071;W
72;LIAM;Liam;Robel;Liam Robel;91111-0072;W
73;ROSSIE;Rossie;Bailey;Rossie Bailey;91111-0073;W
74;JERALD;Jerald;Witting;Jerald Witting;91111-0074;T
75;UNIQUE;Unique;Pfeffer;Unique Pfeffer;91111-0075;T
76;CAMILA;Camila;Kerluke;Camila Kerluke;91111-0076;W
77;KENDALL;Kendall;Heaney;Kendall Heaney;91111-0077;W
78;ELIANE;Eliane;Ritchie;Eliane Ritchie;91111-0078;C
79;DAMIAN;Damian;Goyette;Damian Goyette;91111-0079;C
80;NEWELL;Newell;Wintheiser;Newell Wintheiser;91111-0080;C
81;ETHA;Etha;Streich;Etha Streich;91111-0081;C
82;FREEDA;Freeda;Jaskolski;Freeda Jaskolski;91111-0082;C
83;JAYDON;Jaydon;Dickens;Jaydon Dickens;91111-0083;T
84;MAXIMILLIAN;Maximillian;West;Maximillian West;91111-0084;W
85;FLORENCIO;Florencio;Bogan;Florencio Bogan;91111-0085;C
86;CHARLENE;Charlene;Nienow;Charlene Nienow;91111-0086;C
87;KATHLYN;Kathlyn;Bartoletti;Kathlyn Bartoletti;91111-0087;C
88;ADALINE;Adaline;Stiedemann;Adaline Stiedemann;91111-0088;C
89;CHANELLE;Chanelle;Windler;Chanelle Windler;91111-0089;T
90;JOVANI;Jovani;Brakus;Jovani Brakus;91111-0090;T
91;SHAWN;Shawn;Stiedemann;Shawn Stiedemann;91111-0091;T
92;VERNA;Verna;Leuschke;Verna Leuschke;91111-0092;T
93;IRVING;Irving;Maggio;Irving Maggio;91111-0093;T
94;ADELINE;Adeline;Kris;Adeline Kris;91111-0094;C
95;FURMAN;Furman;Lesch;Furman Lesch;91111-0095;C
96;SAIGE;Saige;Gerlach;Saige Gerlach;91111-0096;C
97;JAY;Jay;Kerluke;Jay Kerluke;91111-0097;C
98;PIETRO;Pietro;Friesen;Pietro Friesen;91111-0098;W
99;KRISTOPHER;Kristopher;Ledner;Kristopher Ledner;91111-0099;W
100;RETTA;Retta;Steuber;Retta Steuber;91111-0100;W
101;MAXIMILIAN;Maximilian;Wisozk;Maximilian Wisozk;91111-0101;W
102;LEON;Leon;Raynor;Leon Raynor;91111-0102;F
103;JAKOB;Jakob;Runte;Jakob Runte;91111-0103;C
104;REBA;Reba;Ruecker;Reba Ruecker;91111-0104;T
105;CHRISTY;Christy;Renner;Christy Renner;91111-0105;W
106;ANNAMARIE;Annamarie;Gleichner;Annamarie Gleichner;91111-0106;C
107;JIMMY;Jimmy;Bradtke;Jimmy Bradtke;91111-0107;T
108;ERWIN;Erwin;Runolfsson;Erwin Runolfsson;91111-0108;F
109;DAWSON;Dawson;Lebsack;Dawson Lebsack;91111-0109;T
110;MARJORY;Marjory;Kassulke;Marjory Kassulke;91111-0110;C
111;TIANA;Tiana;Marks;Tiana Marks;91111-0111;C
112;BREANA;Breana;Pacocha;Breana Pacocha;91111-0112;F
113;BERNICE;Bernice;Reichert;Bernice Reichert;91111-0113;F
114;CECILIA;Cecilia;Turcotte;Cecilia Turcotte;91111-0114;W
115;LENNIE;Lennie;Skiles;Lennie Skiles;91111-0115;W
116;MOZELLE;Mozelle;Marvin;Mozelle Marvin;91111-0116;W
117;JAMEL;Jamel;Zieme;Jamel Zieme;91111-0117;W
118;VELLA;Vella;Von;Vella Von;91111-0118;F
